DATE,KIAUS,KIA3NF,CDUS,CDSVN,CD3NF,CDENM,AASVN,NCDUS,KIAUSPercent,CDUSPercent,NCDUSPercent,OWTEPHIGH,OWTEPLOW,OWTEPALL,REFCasualty,REFVietnam,likely,probably,vietnam,vietnamese,unlikely,casualties,undoubtedly,certain,possible,maybe,certainly,possibly,casualty,reportedly,impossible,uncertain,doubtful,perhaps,doubtless,probable,improbable,unthinkable,conceivable,inconceivable,could
May-68,536,63,2169,3467,85,12543,1156,147,0.0009974376,0.0040362725,0.0002735510,62,13,75,1,317,19,30,167,150,0,0,1,2,2,0,4,2,1,5,0,2,2,2,2,1,0,0,0,1,0
Jun-68,536,65,1146,1974,92,8168,892,164,0.0009974376,0.0021325810,0.0003051861,37,13,50,0,268,4,22,146,122,0,0,2,4,8,0,3,1,0,3,0,0,0,1,2,0,0,0,0,0,0
Jul-68,537,66,813,1409,65,9632,805,196,0.0009992984,0.0015129043,0.0003647346,38,11,49,1,280,8,19,149,131,1,1,0,1,4,0,5,2,0,3,0,1,1,1,2,1,0,0,0,0,0
Aug-68,537,66,1080,2393,73,9600,1869,134,0.0009992984,0.0020097622,0.0002493594,47,19,66,3,258,10,28,143,115,2,3,2,2,11,0,2,4,0,1,0,1,0,2,0,1,0,0,0,0,0
Sep-68,538,66,1053,2164,58,39867,873,177,0.0010011593,0.0019595182,0.0003293777,44,17,61,1,227,13,21,121,106,1,1,3,3,3,0,2,1,0,7,0,2,0,4,1,0,0,0,0,0,0
Oct-68,534,66,600,1169,70,12215,870,205,0.0009937158,0.0011165346,0.0003814826,47,10,57,2,251,10,31,138,113,0,2,0,1,4,0,2,4,0,1,0,1,1,0,2,0,0,0,0,0,0
Nov-68,538,66,703,1408,38,10319,1063,141,0.0010011593,0.0013082063,0.0002623856,54,25,79,4,347,13,30,178,169,4,3,0,3,8,0,3,1,1,4,1,2,0,10,0,0,0,0,0,0,0
Dec-68,537,66,749,1509,67,15478,14148,157,0.0009992984,0.0013938073,0.0002921599,57,17,74,0,258,9,35,140,118,2,0,0,1,7,0,6,3,0,2,0,2,1,3,1,1,1,0,0,0,0
Jan-69,542,68,795,1664,76,10955,1776,160,0.0010626326,0.0015586585,0.0003136923,90,30,120,0,194,16,53,126,68,3,0,1,3,12,2,6,2,0,2,3,5,0,7,3,2,0,0,0,0,0
Feb-69,541,72,1073,2072,85,19805,1274,190,0.0010606720,0.0021036988,0.0003725096,86,29,115,4,93,26,35,67,26,5,4,1,10,12,0,2,4,0,2,0,3,1,8,5,1,0,0,0,0,0
Mar-69,538,72,1316,2186,90,17443,2101,177,0.0010547903,0.0025801190,0.0003470221,97,29,126,10,132,21,48,103,29,7,10,4,7,9,0,6,4,0,0,0,4,1,10,1,1,1,0,2,0,0
Apr-69,543,72,847,1710,52,10237,1226,174,0.0010645932,0.0016606085,0.0003411403,94,25,119,6,121,19,52,84,37,5,6,2,6,13,0,6,3,0,0,2,2,1,7,0,1,0,0,0,0,0
May-69,540,72,1209,2251,92,10369,862,202,0.0010587114,0.0023703373,0.0003960365,61,10,71,5,90,9,30,54,36,2,4,0,8,5,0,6,0,1,0,2,3,1,2,3,0,0,0,0,0,0
Jun-69,539,72,1100,1867,75,8747,1221,154,0.0010567509,0.0021566344,0.0003019288,59,21,80,4,70,13,30,48,22,6,3,1,4,8,0,4,3,1,0,0,4,0,6,1,0,0,0,0,0,0
Jul-69,537,70,638,1455,64,9936,637,159,0.0010528297,0.0012508479,0.0003117317,33,15,48,4,61,5,19,42,19,1,4,0,3,6,0,2,4,0,0,2,3,0,2,0,0,1,0,0,0,0
Aug-69,510,70,795,1626,74,14086,970,172,0.0009998941,0.0015586585,0.0003372192,38,6,44,1,40,8,20,25,15,3,1,1,0,3,0,4,1,0,0,1,0,1,2,0,0,0,0,0,0,0
Sep-69,510,70,477,1543,60,14539,723,180,0.0009998941,0.0009351951,0.0003529038,53,21,74,0,62,10,31,41,21,3,0,1,4,8,0,2,0,0,1,0,3,0,8,2,0,0,0,1,0,0
Oct-69,495,70,377,1597,80,16825,477,212,0.0009704855,0.0007391374,0.0004156423,45,13,58,1,71,7,24,39,32,3,1,0,6,6,0,1,2,0,3,0,0,1,2,2,1,0,0,0,0,0
Nov-69,480,70,446,2105,62,12373,710,175,0.0009410768,0.0008744172,0.0003431009,50,11,61,2,76,9,26,38,38,2,1,3,4,4,0,3,1,1,0,0,0,0,6,3,0,0,0,0,0,0
Dec-69,474,69,341,1758,56,11639,514,158,0.0009293134,0.0006685567,0.0003097711,47,6,53,3,65,12,18,48,17,3,3,2,8,2,0,3,0,0,1,0,2,1,1,0,0,0,0,0,0,0
Jan-70,473,70,343,1768,69,9187,705,141,0.0012119566,0.0008788607,0.0003612809,46,12,58,3,89,9,23,50,39,4,3,1,3,5,0,2,4,0,0,1,1,1,2,1,1,0,0,0,0,0
Feb-70,467,70,386,1417,36,8828,997,171,0.0011965829,0.0009890386,0.0004381492,31,5,36,6,71,6,18,36,35,1,6,0,2,0,0,3,1,0,0,0,0,1,4,0,0,0,0,0,0,0
Mar-70,442,70,449,1674,75,13063,1252,208,0.0011325260,0.0011504620,0.0005329534,53,23,76,3,148,10,36,52,96,1,3,0,2,11,0,2,2,0,3,1,2,0,4,1,0,0,0,1,0,0
Apr-70,428,70,526,2642,79,7861,1916,135,0.0010966542,0.0013477572,0.0003459073,85,23,108,11,194,14,46,73,121,3,10,1,10,8,0,8,4,1,0,0,3,1,8,1,1,0,0,0,0,0
May-70,428,69,754,2851,58,7183,1930,166,0.0010966542,0.0019319562,0.0004253378,81,35,116,7,187,16,45,83,104,6,7,1,3,14,0,9,5,0,8,0,2,1,6,0,0,0,0,0,0,0
Jun-70,415,69,418,2873,63,6446,1545,129,0.0010633446,0.0010710314,0.0003305336,76,33,109,11,158,16,41,59,99,2,7,2,10,13,0,3,7,4,10,0,1,0,2,1,1,0,0,0,0,0
Jul-70,404,69,332,1711,71,6138,1026,171,0.0010351596,0.0008506757,0.0004381492,73,27,100,6,101,12,49,43,58,4,6,2,1,10,0,2,4,0,6,1,0,2,7,0,0,0,0,0,0,0
Aug-70,400,69,319,1720,63,5549,819,129,0.0010249104,0.0008173661,0.0003305336,37,12,49,5,77,3,23,36,41,2,5,0,4,3,0,5,4,0,3,0,0,0,2,0,0,0,0,0,0,0
Sep-70,390,69,219,1734,46,5607,705,146,0.0009992877,0.0005611385,0.0003740923,52,7,59,5,52,9,25,30,22,4,5,4,5,4,0,2,3,0,0,2,0,1,0,0,0,0,0,0,0,0
Oct-70,374,69,170,1491,57,6185,703,155,0.0009582913,0.0004355869,0.0003971528,55,24,79,4,104,9,31,67,37,4,4,1,5,11,0,3,6,0,3,1,1,0,3,0,0,0,1,0,0,0
Nov-70,355,68,167,1619,48,10335,605,133,0.0009096080,0.0004279001,0.0003407827,30,13,43,6,124,14,3,73,51,4,5,0,1,7,0,5,4,1,1,1,0,1,1,1,0,0,0,0,0,0
Dec-70,335,68,138,1846,39,17256,675,160,0.0008583625,0.0003535941,0.0004099642,27,12,39,2,110,16,4,54,56,1,2,2,2,7,0,1,2,0,1,0,1,1,1,0,0,0,0,0,0,0
Jan-71,336,68,140,1616,30,6155,780,103,0.0015780204,0.0006575085,0.0004837384,20,13,33,4,102,9,4,52,50,3,4,1,1,5,0,0,4,0,0,0,2,2,2,0,0,0,0,0,0,0
Feb-71,325,67,221,2435,48,19858,691,135,0.0015263590,0.0010379242,0.0006340261,23,12,35,9,168,9,5,53,115,4,8,0,3,7,0,2,4,1,0,0,0,0,1,0,0,0,0,0,0,0
Mar-71,302,67,272,3676,104,9094,1665,104,0.0014183398,0.0012774451,0.0004884349,64,28,92,8,119,24,15,52,67,8,8,0,7,13,0,4,2,0,4,2,6,2,3,1,1,0,0,0,0,0
Apr-71,230,67,226,2198,86,7648,1080,100,0.0010801926,0.0010614066,0.0004696489,49,11,60,4,53,18,15,25,28,3,4,4,4,7,0,3,2,0,0,1,0,0,2,0,1,0,0,0,0,0
May-71,250,67,138,2091,50,6297,1277,63,0.0011741223,0.0006481155,0.0002958788,37,9,46,2,48,15,10,19,29,4,2,0,4,6,0,1,0,0,2,0,0,2,1,0,1,0,0,0,0,0
Jun-71,239,66,108,1846,44,6165,661,73,0.0011224610,0.0005072209,0.0003428437,42,15,57,9,102,19,12,44,58,3,8,0,3,9,0,3,4,1,1,1,0,0,1,1,0,0,0,0,0,0
Jul-71,225,64,65,1389,44,6300,579,61,0.0010567101,0.0003052718,0.0002864859,48,15,63,0,94,12,21,54,40,4,0,0,1,6,0,6,5,0,0,1,2,0,2,2,1,0,0,0,0,0
Aug-71,216,61,67,1488,32,5744,560,48,0.0010144417,0.0003146648,0.0002254315,42,19,61,1,65,14,15,36,29,5,1,0,4,5,0,3,4,0,2,0,4,0,4,0,1,0,0,0,0,0
Sep-71,213,60,78,1607,27,4283,409,53,0.0010003522,0.0003663262,0.0002489139,63,31,94,5,96,31,13,57,39,8,5,0,3,12,0,4,3,0,2,0,6,4,6,0,0,0,0,2,0,0
Oct-71,196,59,29,1574,20,4439,477,91,0.0009205119,0.0001361982,0.0004273805,23,12,35,4,84,11,3,42,42,2,4,1,5,8,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0
Nov-71,178,59,19,1161,14,11704,364,102,0.0008359751,0.0000892333,0.0004790419,37,18,55,5,101,13,7,45,56,1,5,3,5,8,0,5,2,0,2,2,3,0,3,0,1,0,0,0,0,0
Dec-71,157,54,17,988,26,10457,8179,35,0.0007373488,0.0000798403,0.0001643771,60,24,84,6,115,20,17,33,82,5,6,6,6,7,0,4,8,0,2,0,1,1,6,1,0,0,0,0,0,0
